filename,text
spa-001d19ec.flac,bola
spa-0059d70a.flac,gen
spa-00655781.flac,el contrato
spa-0066baf0.flac,honrar
spa-00836758.flac,datilera
spa-008446ec.flac,importar
spa-00a1cd96.flac,cazar
spa-00ac40e3.flac,carbón
spa-00ade004.flac,una apreciación
spa-00afb558.flac,la forma
spa-00cc3f62.flac,atención
spa-00eaa17c.flac,hacer
spa-0128cb4b.flac,haber
spa-01309816.flac,la energía
spa-0137283d.flac,alquilar
spa-0189bfd0.flac,el gusto
spa-01a0c228.flac,aparato
spa-01a35f5e.flac,imposición
spa-01a8b7d9.flac,fecha
spa-01af48cd.flac,extraño
spa-01bd6a85.flac,finalmente
spa-01ca2f50.flac,estimar
spa-01d4b911.flac,bestia
spa-01d7a131.flac,el crimen
spa-024d6fbd.flac,formulario
spa-02d027cf.flac,cuadro
spa-0324b79d.flac,guía
spa-032f5ec8.flac,una cuota
spa-03339fa0.flac,característica
spa-034b259f.flac,la estrategia
spa-03535ed9.flac,hotel
spa-036b9726.flac,ejemplar
spa-03a687bd.flac,el hielo
spa-03c2cef1.flac,disposición
spa-03e95e5a.flac,un crédito
spa-03edc072.flac,capaz
spa-040be1f1.flac,el castigo
spa-0446b37f.flac,enviar
spa-049bf074.flac,bombear
spa-04b01eb3.flac,conducir
spa-04c713a0.flac,cielo
spa-04d0dac1.flac,la carne
spa-0548a856.flac,estrecho
spa-0553a563.flac,una aventura
spa-055d30d4.flac,el adorno
spa-059cd541.flac,gordo
spa-06235fce.flac,diecisiete
spa-062cba21.flac,gran
spa-06428fb0.flac,fallo
spa-066ca0f2.flac,la conferencia
spa-0672dd3f.flac,bombero
spa-067d8ca5.flac,el expreso
spa-067f1c51.flac,discusión
spa-0689a5c0.flac,decoración
spa-0719cab8.flac,débil
spa-073e724e.flac,duro
spa-0753164d.flac,los desperdicios
spa-07532323.flac,diputación
spa-07587575.flac,época
spa-076f44dd.flac,el banco
spa-078064e9.flac,dedo
spa-08075be8.flac,cerilla
spa-08115cbf.flac,crimen
spa-081e42e7.flac,el gobierno
spa-0868babe.flac,estas
spa-087be8f9.flac,una evidencia
spa-08e53312.flac,esencial
spa-09057641.flac,bienestar
spa-091bc2b3.flac,cocinero
spa-099299e3.flac,alternativa
spa-0999fbb8.flac,la estación
spa-09a68a64.flac,destreza
spa-09b88bc0.flac,el freno
spa-09e4a411.flac,cualquier cosa
spa-09e972d0.flac,ejército
spa-09fffcb0.flac,además de
spa-0a004de0.flac,anaranjado
spa-0a24655d.flac,la cuenca
spa-0a3fe09c.flac,catar
spa-0a4e3e38.flac,la experiencia
spa-0a8bca45.flac,idea
spa-0aa3c2d4.flac,la disposición
spa-0aa52839.flac,el carbón
