filename,text
pol-08ea7bd3.flac,długi
pol-abbd9e14.flac,nisko
pol-322253ae.flac,wysoko
pol-00bc0ab9.flac,duży
pol-9312b37d.flac,mały
pol-572ce41f.flac,pusty
pol-9ab70a34.flac,pełny
pol-63fbe138.flac,trudny
pol-56d00e44.flac,łatwo
pol-e1c82932.flac,stary
pol-f091f598.flac,nowy
pol-08ce4f1a.flac,młody
pol-77cf14bd.flac,szczęśliwy
pol-5cf3597c.flac,mocny
pol-f7840e0e.flac,inny
pol-e6134818.flac,sam
pol-6e5bd6fb.flac,obcy
pol-bc631dcd.flac,zabronione
pol-aeca684c.flac,czysty
pol-b67400be.flac,brudny
pol-91797b9d.flac,chory
pol-816d5a55.flac,zmęczony
pol-ea1cf211.flac,nieobecny
pol-ac396c4c.flac,zajęty
pol-7dff9162.flac,wolny
pol-05b239fa.flac,nieprawda
pol-d0f20e13.flac,prawda
pol-1689eb24.flac,niedrogi
pol-36ffe606.flac,drogi
pol-dd804e41.flac,dlaczego
pol-4cd798c1.flac,ile
pol-1c8775d2.flac,jak
pol-89f594ab.flac,gdzie
pol-08ba6738.flac,kiedy
pol-80768ace.flac,jaka
pol-8ead02fc.flac,jaki
pol-d2045652.flac,co
pol-bdf23fb6.flac,nie wiem
pol-85834c03.flac,trzeba
pol-1075063f.flac,poczekaj
pol-78ba8d9f.flac,ile to kosztuje
pol-8af669bf.flac,chcę
pol-364ea4f8.flac,nię mogę
pol-7db9063b.flac,na zdrowie
pol-183576a9.flac,wybacz mi
pol-1a51adfd.flac,czuję się dobrze
pol-c1d60eb0.flac,mówisz po polsku
pol-198faf63.flac,pochodzę w Polski
pol-7f777b7d.flac,mówię po polsku
pol-8924c7e4.flac,studiuję w Paryżu
pol-228513e8.flac,gdzie jest
pol-168e4c2b.flac,mam dwadzieścia lat
pol-b355de1d.flac,ile masz lat
pol-58e40d3e.flac,uwaga
pol-7e9578db.flac,witajcie
pol-c76c1856.flac,do widzinia wkrotce
pol-7110cdae.flac,do widzenia
pol-defb011b.flac,nie ma za co
pol-4d07bf2f.flac,dziekuję
pol-c479d774.flac,dobra noc
pol-5f5bc48b.flac,dobry wieczór
pol-c6da3127.flac,milo mi poznać
pol-b0c61270.flac,cześć
pol-34ef7a01.flac,nie
pol-0a3ffba8.flac,tak
pol-9ba99a04.flac,zatrwymać się
pol-796b5cac.flac,ułożyć
pol-e76a774a.flac,wziązć
pol-e33036b7.flac,pokazać
pol-cbf65222.flac,kosztować
pol-12b0657f.flac,kupić
pol-005f1a96.flac,dać
pol-78b4a9b1.flac,przynieść
pol-c40b11b2.flac,wysłać
pol-f30e42a3.flac,zamknąć
pol-9d5e32da.flac,otworzyć
pol-53878d32.flac,wejść
pol-0bb1fed8.flac,przyjć
pol-3e9fafcd.flac,iść
pol-9585cd44.flac,znalezć
pol-73f8f16a.flac,mieć
pol-3701b782.flac,być
pol-6cdaa8ca.flac,nikt
pol-adfe7e39.flac,wszyscy
pol-7a6c86f1.flac,one
pol-73dacada.flac,oni
pol-b853ce8d.flac,my
pol-7d0142e8.flac,ona
pol-09b629c8.flac,on
pol-23536795.flac,ty
pol-39467482.flac,ojciec
pol-e47ec01c.flac,ja
pol-892b2433.flac,wolno
pol-8976185f.flac,szybko
pol-e21d3dc7.flac,daleko
pol-e1079b5a.flac,przy
pol-aebcd24d.flac,za
pol-9a5eeeaa.flac,prosto
pol-c613c9b5.flac,na lewo
pol-46ac95b0.flac,na prawo
pol-aaaa2329.flac,na górze
pol-47d34608.flac,na dole
pol-e35c5e9d.flac,tam
pol-2ae52bbe.flac,tu
pol-b445bb55.flac,razem
pol-5dcbc8d9.flac,teraz
pol-c3de3c26.flac,nigdy
pol-2609837c.flac,może
pol-8e9223da.flac,mniej
pol-b8f9eda1.flac,więcej
pol-d699b751.flac,bardzo
pol-eeaae745.flac,zbyt dużo
pol-c7255417.flac,dosyć
pol-f468bfe8.flac,dużo
pol-17978b6e.flac,dobrze
pol-01175e01.flac,szary
pol-71ca30a1.flac,brązowy
pol-96819174.flac,różowy
pol-b1020980.flac,żółty
pol-4b81bda3.flac,zielony
pol-5db4978f.flac,niebieski
pol-cfb1419b.flac,czerwony
pol-8a8887d0.flac,czarny
pol-6015bd6a.flac,szybki
pol-852ce8cf.flac,ciepły
pol-a1c66038.flac,zimny
pol-96200145.flac,niedobry
pol-b6560c67.flac,dobry
pol-9f43316c.flac,brzydki
pol-2522b17d.flac,ładny
pol-8b5d4cc8.flac,szeroki
pol-4565aca2.flac,słońce
pol-b0a007dd.flac,gwiazda
pol-62d4fa9f.flac,niebo
pol-4d24445a.flac,ziemia
pol-20022eb6.flac,zachód
